Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,BDI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,73.33006,,,,,,,,61.73879,,,,,,79.55961,,,88.22177,,,,,,
Cabo Verde,CPV,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,95.87,,,,,,,,,,,,98.12897,,,98.11131,,,,,,,,
Cambodia,KHM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,83.38286,,,,87.47138,87.12393,,,,,90.14187,92.21236,,,,,,,,
Cameroon,CMR,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,83.09829,,,,,,,83.13557,,,80.57444,,,,,,,,85.08,,,,,
Canada,CAN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,93.89387,94.11163,94.36259,94.59651,94.79777,94.9696,95.1563,95.20568,95.66471,95.78112,95.90667,95.95851,96.06773,96.0912,96.52855,96.65606,96.62038,,,,,,,,
Cayman Islands,CYM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,98.90682,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,60.80705,,,,,,,,,,36.35627,,,,,,,,38.26865,,,,,
Central Europe and the Baltics,CEB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.2006,99.18063,99.16726,99.15478,99.13133,99.10941,99.09112,99.07522,99.06443,99.07244,99.36371,99.38328,99.40172,99.41957,99.43898,99.45876,99.47612,99.496,,,,,,,
Chad,TCD,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,37.55735,,,,41.67312,,,,,,,,,,,38.77242,30.79161,,,,,,,
Channel Islands,CHI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,98.99098,,,,,,99.15358,98.87238,98.84012,99.40819,,99.04828,,99.35394,,99.00866,,,,,,
